No.,Title,Original release date,English release date
3,All MightŌrumaito (オールマイト),"April 3, 2015[20] 978-4-08-880335-7","February 2, 2016[21]978-1-4215-8510-9"
"""Heroes Counterattack"" (逆襲のヒーローズ, Gyakushū no Hīrōzu)""All Might"" (オールマイト, Ōrumaito)""The World of Pros"" (プロの世界, Puro no Sekai)""In Each of Our Hearts"" (各々の胸に, Onoono no Mune ni)""That's the Idea, Ochako"" (そういうことねお茶子さん, Sōiu Koto ne Ochako-san)""Roaring Sports Festival"" (うなれ体育祭, Unare Taiikusai)""Mad Dash and Knockdown"" (駆け上がれ蹴落として, Kakeagare Keotoshite)""In Their Own Quirky Ways"" (みんな個性的でいいね, Minna Kosei-teki de ii ne)""Chase Down the Leader"" (立て追われる身, Esu-tate Owareru Mi)","""Heroes Counterattack"" (逆襲のヒーローズ, Gyakushū no Hīrōzu)""All Might"" (オールマイト, Ōrumaito)""The World of Pros"" (プロの世界, Puro no Sekai)""In Each of Our Hearts"" (各々の胸に, Onoono no Mune ni)""That's the Idea, Ochako"" (そういうことねお茶子さん, Sōiu Koto ne Ochako-san)""Roaring Sports Festival"" (うなれ体育祭, Unare Taiikusai)""Mad Dash and Knockdown"" (駆け上がれ蹴落として, Kakeagare Keotoshite)""In Their Own Quirky Ways"" (みんな個性的でいいね, Minna Kosei-teki de ii ne)""Chase Down the Leader"" (立て追われる身, Esu-tate Owareru Mi)","""Heroes Counterattack"" (逆襲のヒーローズ, Gyakushū no Hīrōzu)""All Might"" (オールマイト, Ōrumaito)""The World of Pros"" (プロの世界, Puro no Sekai)""In Each of Our Hearts"" (各々の胸に, Onoono no Mune ni)""That's the Idea, Ochako"" (そういうことねお茶子さん, Sōiu Koto ne Ochako-san)""Roaring Sports Festival"" (うなれ体育祭, Unare Taiikusai)""Mad Dash and Knockdown"" (駆け上がれ蹴落として, Kakeagare Keotoshite)""In Their Own Quirky Ways"" (みんな個性的でいいね, Minna Kosei-teki de ii ne)""Chase Down the Leader"" (立て追われる身, Esu-tate Owareru Mi)","""Heroes Counterattack"" (逆襲のヒーローズ, Gyakushū no Hīrōzu)""All Might"" (オールマイト, Ōrumaito)""The World of Pros"" (プロの世界, Puro no Sekai)""In Each of Our Hearts"" (各々の胸に, Onoono no Mune ni)""That's the Idea, Ochako"" (そういうことねお茶子さん, Sōiu Koto ne Ochako-san)""Roaring Sports Festival"" (うなれ体育祭, Unare Taiikusai)""Mad Dash and Knockdown"" (駆け上がれ蹴落として, Kakeagare Keotoshite)""In Their Own Quirky Ways"" (みんな個性的でいいね, Minna Kosei-teki de ii ne)""Chase Down the Leader"" (立て追われる身, Esu-tate Owareru Mi)"
,,,
"""Heroes Counterattack"" (逆襲のヒーローズ, Gyakushū no Hīrōzu)""All Might"" (オールマイト, Ōrumaito)""The World of Pros"" (プロの世界, Puro no Sekai)""In Each of Our Hearts"" (各々の胸に, Onoono no Mune ni)""That's the Idea, Ochako"" (そういうことねお茶子さん, Sōiu Koto ne Ochako-san)""Roaring Sports Festival"" (うなれ体育祭, Unare Taiikusai)""Mad Dash and Knockdown"" (駆け上がれ蹴落として, Kakeagare Keotoshite)""In Their Own Quirky Ways"" (みんな個性的でいいね, Minna Kosei-teki de ii ne)""Chase Down the Leader"" (立て追われる身, Esu-tate Owareru Mi)",,,
"When All Might arrives, Shigaraki pits him against a multi-Quirked monster called ""Nomu"" that All Might barely manages to defeat. Izuku stops Shigaraki from finishing All Might off as the other teachers arrive. Shigaraki and his right-hand man Kurogiri are forced to flee, informed by their benefactor that their war against the heroes has only just begun. As U.A. prepares to hold its annual Sports Festival, All Might reveals that the residual traces of his Quirk are diminishing while telling Izuku that the festival is an opportunity for him to show his true value to the world. Izuku receives a challenge from his classmate Shoto Todoroki. As the Sports Festival begins, the students from the four branches of the school - Hero, General Studies, Business and Support Courses - participate in an obstacle course race.","When All Might arrives, Shigaraki pits him against a multi-Quirked monster called ""Nomu"" that All Might barely manages to defeat. Izuku stops Shigaraki from finishing All Might off as the other teachers arrive. Shigaraki and his right-hand man Kurogiri are forced to flee, informed by their benefactor that their war against the heroes has only just begun. As U.A. prepares to hold its annual Sports Festival, All Might reveals that the residual traces of his Quirk are diminishing while telling Izuku that the festival is an opportunity for him to show his true value to the world. Izuku receives a challenge from his classmate Shoto Todoroki. As the Sports Festival begins, the students from the four branches of the school - Hero, General Studies, Business and Support Courses - participate in an obstacle course race.","When All Might arrives, Shigaraki pits him against a multi-Quirked monster called ""Nomu"" that All Might barely manages to defeat. Izuku stops Shigaraki from finishing All Might off as the other teachers arrive. Shigaraki and his right-hand man Kurogiri are forced to flee, informed by their benefactor that their war against the heroes has only just begun. As U.A. prepares to hold its annual Sports Festival, All Might reveals that the residual traces of his Quirk are diminishing while telling Izuku that the festival is an opportunity for him to show his true value to the world. Izuku receives a challenge from his classmate Shoto Todoroki. As the Sports Festival begins, the students from the four branches of the school - Hero, General Studies, Business and Support Courses - participate in an obstacle course race.","When All Might arrives, Shigaraki pits him against a multi-Quirked monster called ""Nomu"" that All Might barely manages to defeat. Izuku stops Shigaraki from finishing All Might off as the other teachers arrive. Shigaraki and his right-hand man Kurogiri are forced to flee, informed by their benefactor that their war against the heroes has only just begun. As U.A. prepares to hold its annual Sports Festival, All Might reveals that the residual traces of his Quirk are diminishing while telling Izuku that the festival is an opportunity for him to show his true value to the world. Izuku receives a challenge from his classmate Shoto Todoroki. As the Sports Festival begins, the students from the four branches of the school - Hero, General Studies, Business and Support Courses - participate in an obstacle course race."
4,The Boy Born With EverythingSubete wo Motte Umareta Otoko no Ko (すべてを持って生まれた男の子),"June 4, 2015[22] 978-4-08-880420-0","May 3, 2016[23]978-1-4215-8511-6"
"""Earth-Shatteringly Fateful Negotiations"" (天下分け目の交渉時間, Tenkawakeme no Kōshō Jikan)""Strats, Strats, Strats"" (策策策, Sakusakusaku)""Unaware"" (知られてない, Shiraretenai)""Cavalry-Match Finale"" (騎馬戦決着, Kibasen Kecchaku)""The Boy Born With Everything"" (すべてを持って生まれた男の子, Subete wo Motte Urarete Otoko no Ko)""Smile, Prince of Nonsense Land!"" (笑え！ノンセンス界のプリンス, Warae! Nonsensu-kai no Purinsu)""Shinso's Situation"" (心操くんの無情, Shinsō-kun no Mujō)""Victory or Defeat"" (勝ち負け, Kachimake)""Battle On, Challengers!"" (奮え！チャレンジャー, Furue! Charenjā)","""Earth-Shatteringly Fateful Negotiations"" (天下分け目の交渉時間, Tenkawakeme no Kōshō Jikan)""Strats, Strats, Strats"" (策策策, Sakusakusaku)""Unaware"" (知られてない, Shiraretenai)""Cavalry-Match Finale"" (騎馬戦決着, Kibasen Kecchaku)""The Boy Born With Everything"" (すべてを持って生まれた男の子, Subete wo Motte Urarete Otoko no Ko)""Smile, Prince of Nonsense Land!"" (笑え！ノンセンス界のプリンス, Warae! Nonsensu-kai no Purinsu)""Shinso's Situation"" (心操くんの無情, Shinsō-kun no Mujō)""Victory or Defeat"" (勝ち負け, Kachimake)""Battle On, Challengers!"" (奮え！チャレンジャー, Furue! Charenjā)","""Earth-Shatteringly Fateful Negotiations"" (天下分け目の交渉時間, Tenkawakeme no Kōshō Jikan)""Strats, Strats, Strats"" (策策策, Sakusakusaku)""Unaware"" (知られてない, Shiraretenai)""Cavalry-Match Finale"" (騎馬戦決着, Kibasen Kecchaku)""The Boy Born With Everything"" (すべてを持って生まれた男の子, Subete wo Motte Urarete Otoko no Ko)""Smile, Prince of Nonsense Land!"" (笑え！ノンセンス界のプリンス, Warae! Nonsensu-kai no Purinsu)""Shinso's Situation"" (心操くんの無情, Shinsō-kun no Mujō)""Victory or Defeat"" (勝ち負け, Kachimake)""Battle On, Challengers!"" (奮え！チャレンジャー, Furue! Charenjā)","""Earth-Shatteringly Fateful Negotiations"" (天下分け目の交渉時間, Tenkawakeme no Kōshō Jikan)""Strats, Strats, Strats"" (策策策, Sakusakusaku)""Unaware"" (知られてない, Shiraretenai)""Cavalry-Match Finale"" (騎馬戦決着, Kibasen Kecchaku)""The Boy Born With Everything"" (すべてを持って生まれた男の子, Subete wo Motte Urarete Otoko no Ko)""Smile, Prince of Nonsense Land!"" (笑え！ノンセンス界のプリンス, Warae! Nonsensu-kai no Purinsu)""Shinso's Situation"" (心操くんの無情, Shinsō-kun no Mujō)""Victory or Defeat"" (勝ち負け, Kachimake)""Battle On, Challengers!"" (奮え！チャレンジャー, Furue! Charenjā)"
,,,
"""Earth-Shatteringly Fateful Negotiations"" (天下分け目の交渉時間, Tenkawakeme no Kōshō Jikan)""Strats, Strats, Strats"" (策策策, Sakusakusaku)""Unaware"" (知られてない, Shiraretenai)""Cavalry-Match Finale"" (騎馬戦決着, Kibasen Kecchaku)""The Boy Born With Everything"" (すべてを持って生まれた男の子, Subete wo Motte Urarete Otoko no Ko)""Smile, Prince of Nonsense Land!"" (笑え！ノンセンス界のプリンス, Warae! Nonsensu-kai no Purinsu)""Shinso's Situation"" (心操くんの無情, Shinsō-kun no Mujō)""Victory or Defeat"" (勝ち負け, Kachimake)""Battle On, Challengers!"" (奮え！チャレンジャー, Furue! Charenjā)",,,
"After the obstacle course race, Izuku is teamed up in a ""Cavalry Battle"" round with Uraraka, their classmate Fumikage Tokoyami and Support Course student Mei Hatsume. Though they and Bakugo's team are targeted by Neito Monoma and his classmates from Class 1-B, they all manage to place among the 16 students who advance to the final round: a single-elimination tournament. After learning of Todoroki's troubled relationship with his father, the number-two hero Endeavor, Izuku faces the General Studies student Hitoshi Shinso and manages to override his ""Brainwashing"" Quirk to win, with Todoroki being his next opponent. After other matches conclude, including a humiliating defeat for Class 1-A's vice-representative Momo Yaoyorozu at the hands of Tokoyami, Uraraka prepares herself for the daunting task of battling Bakugo.","After the obstacle course race, Izuku is teamed up in a ""Cavalry Battle"" round with Uraraka, their classmate Fumikage Tokoyami and Support Course student Mei Hatsume. Though they and Bakugo's team are targeted by Neito Monoma and his classmates from Class 1-B, they all manage to place among the 16 students who advance to the final round: a single-elimination tournament. After learning of Todoroki's troubled relationship with his father, the number-two hero Endeavor, Izuku faces the General Studies student Hitoshi Shinso and manages to override his ""Brainwashing"" Quirk to win, with Todoroki being his next opponent. After other matches conclude, including a humiliating defeat for Class 1-A's vice-representative Momo Yaoyorozu at the hands of Tokoyami, Uraraka prepares herself for the daunting task of battling Bakugo.","After the obstacle course race, Izuku is teamed up in a ""Cavalry Battle"" round with Uraraka, their classmate Fumikage Tokoyami and Support Course student Mei Hatsume. Though they and Bakugo's team are targeted by Neito Monoma and his classmates from Class 1-B, they all manage to place among the 16 students who advance to the final round: a single-elimination tournament. After learning of Todoroki's troubled relationship with his father, the number-two hero Endeavor, Izuku faces the General Studies student Hitoshi Shinso and manages to override his ""Brainwashing"" Quirk to win, with Todoroki being his next opponent. After other matches conclude, including a humiliating defeat for Class 1-A's vice-representative Momo Yaoyorozu at the hands of Tokoyami, Uraraka prepares herself for the daunting task of battling Bakugo.","After the obstacle course race, Izuku is teamed up in a ""Cavalry Battle"" round with Uraraka, their classmate Fumikage Tokoyami and Support Course student Mei Hatsume. Though they and Bakugo's team are targeted by Neito Monoma and his classmates from Class 1-B, they all manage to place among the 16 students who advance to the final round: a single-elimination tournament. After learning of Todoroki's troubled relationship with his father, the number-two hero Endeavor, Izuku faces the General Studies student Hitoshi Shinso and manages to override his ""Brainwashing"" Quirk to win, with Todoroki being his next opponent. After other matches conclude, including a humiliating defeat for Class 1-A's vice-representative Momo Yaoyorozu at the hands of Tokoyami, Uraraka prepares herself for the daunting task of battling Bakugo."
5,Shoto Todoroki: OriginTodoroki Shōto: Origin (轟焦凍：オリジン),"August 4, 2015[24] 978-4-08-880449-1","August 2, 2016[25]978-1-4215-8702-8"
"""Bakugō Vs. Uraraka"" (爆豪ＶＳ麗日, Bakugō VS Uraraka)""Midoriya and Endeavor"" (緑谷とエンデヴァー, Midoriya to Endevā)""Todoroki vs. Midoriya"" (轟ＶＳ緑谷, Todoroki VS Midoriya)""Shoto Todoroki: Origin"" (轟　焦凍：オリジン, Todoroki Shōto: Origin)""Emancipation"" (親離れ, Oya Hanare)""Fight On, Ida"" (飯田くんファイト, Īda-kun Faito)""Final-Match Time"" (いざ決勝, Iza Kesshō)""Todoroki vs. Bakugo"" (轟ＶＳ爆豪, Todoroki VS Bakugō)""Relaxing Day Off"" (休め振替休日, Yasume Furikae Kyūjitsu)","""Bakugō Vs. Uraraka"" (爆豪ＶＳ麗日, Bakugō VS Uraraka)""Midoriya and Endeavor"" (緑谷とエンデヴァー, Midoriya to Endevā)""Todoroki vs. Midoriya"" (轟ＶＳ緑谷, Todoroki VS Midoriya)""Shoto Todoroki: Origin"" (轟　焦凍：オリジン, Todoroki Shōto: Origin)""Emancipation"" (親離れ, Oya Hanare)""Fight On, Ida"" (飯田くんファイト, Īda-kun Faito)""Final-Match Time"" (いざ決勝, Iza Kesshō)""Todoroki vs. Bakugo"" (轟ＶＳ爆豪, Todoroki VS Bakugō)""Relaxing Day Off"" (休め振替休日, Yasume Furikae Kyūjitsu)","""Bakugō Vs. Uraraka"" (爆豪ＶＳ麗日, Bakugō VS Uraraka)""Midoriya and Endeavor"" (緑谷とエンデヴァー, Midoriya to Endevā)""Todoroki vs. Midoriya"" (轟ＶＳ緑谷, Todoroki VS Midoriya)""Shoto Todoroki: Origin"" (轟　焦凍：オリジン, Todoroki Shōto: Origin)""Emancipation"" (親離れ, Oya Hanare)""Fight On, Ida"" (飯田くんファイト, Īda-kun Faito)""Final-Match Time"" (いざ決勝, Iza Kesshō)""Todoroki vs. Bakugo"" (轟ＶＳ爆豪, Todoroki VS Bakugō)""Relaxing Day Off"" (休め振替休日, Yasume Furikae Kyūjitsu)","""Bakugō Vs. Uraraka"" (爆豪ＶＳ麗日, Bakugō VS Uraraka)""Midoriya and Endeavor"" (緑谷とエンデヴァー, Midoriya to Endevā)""Todoroki vs. Midoriya"" (轟ＶＳ緑谷, Todoroki VS Midoriya)""Shoto Todoroki: Origin"" (轟　焦凍：オリジン, Todoroki Shōto: Origin)""Emancipation"" (親離れ, Oya Hanare)""Fight On, Ida"" (飯田くんファイト, Īda-kun Faito)""Final-Match Time"" (いざ決勝, Iza Kesshō)""Todoroki vs. Bakugo"" (轟ＶＳ爆豪, Todoroki VS Bakugō)""Relaxing Day Off"" (休め振替休日, Yasume Furikae Kyūjitsu)"
,,,
"""Bakugō Vs. Uraraka"" (爆豪ＶＳ麗日, Bakugō VS Uraraka)""Midoriya and Endeavor"" (緑谷とエンデヴァー, Midoriya to Endevā)""Todoroki vs. Midoriya"" (轟ＶＳ緑谷, Todoroki VS Midoriya)""Shoto Todoroki: Origin"" (轟　焦凍：オリジン, Todoroki Shōto: Origin)""Emancipation"" (親離れ, Oya Hanare)""Fight On, Ida"" (飯田くんファイト, Īda-kun Faito)""Final-Match Time"" (いざ決勝, Iza Kesshō)""Todoroki vs. Bakugo"" (轟ＶＳ爆豪, Todoroki VS Bakugō)""Relaxing Day Off"" (休め振替休日, Yasume Furikae Kyūjitsu)",,,
